Día;dia/semana;Línea de servicio;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00
16/10/2019;miércoles;LINEA 2;98;658;750;730;688;710;783;901;957;750;908;1140;1183;1291;1438;1152;1008;554;238
17/10/2019;jueves;LINEA 1;2810;9311;11403;11554;6958;6327;5169;5658;6098;5384;5795;5696;6515;10899;8210;7628;4474;3536;2060
17/10/2019;jueves;LINEA 2;86;650;703;721;602;668;734;211;362;646;765;969;1136;1556;1163;1395;963;589;238
18/10/2019;viernes;LINEA 1;2774;9381;11660;11287;6792;6220;5196;5677;5777;5639;6032;6704;8304;10722;9387;6707;4696;3631;2600
18/10/2019;viernes;LINEA 2;90;663;756;716;666;682;730;867;896;810;1012;976;1385;1591;1626;1058;855;603;308
19/10/2019;sábado;LINEA 1;;;;;19671;15808;5035;5490;7523;7428;7462;6561;6653;4806;5280;4464;3325;3098;2108
19/10/2019;sábado;LINEA 2;;;;;917;1756;662;743;964;1038;1039;978;998;981;799;959;514;487;265
20/10/2019;domingo;LINEA 1;618;2601;3879;2812;2673;2906;3326;3450;4099;3941;3929;3860;3935;3979;3876;3208;2974;2437;503
20/10/2019;domingo;LINEA 2;1;160;172;1;;;306;257;453;474;428;392;434;520;516;421;324;211;34
21/10/2019;lunes;LINEA 1;2928;9063;11311;10921;6602;6000;4816;5291;5824;5321;5511;6337;7959;10963;9060;6107;4094;3375;1679
21/10/2019;lunes;LINEA 2;62;572;701;766;668;704;688;877;565;;;;;;;;8844;528;181
22/10/2019;martes;LINEA 1;2865;9444;11869;11428;6760;6122;5102;5411;5817;6080;5929;6269;8312;11499;9700;6179;4383;3646;1912
22/10/2019;martes;LINEA 2;87;603;757;746;737;733;782;801;979;723;848;997;1433;1658;1608;1152;890;547;257
23/10/2019;miércoles;LINEA 1;2663;9385;11723;11272;4544;192;12513;5451;5670;5707;5576;5584;8410;10814;10052;6479;4359;3514;1987
23/10/2019;miércoles;LINEA 2;90;573;796;743;369;183;1384;749;910;785;878;1056;1243;1289;1618;1176;868;567;179
24/10/2019;jueves;LINEA 1;2734;8803;11792;11429;6862;5878;4928;5269;5344;5342;5823;5770;7420;10124;8741;5648;4484;3445;1992
24/10/2019;jueves;LINEA 2;78;599;704;766;588;578;775;819;897;760;193;;1766;1048;1393;900;986;523;230
25/10/2019;viernes;LINEA 1;2851;9080;11534;10899;6787;5887;5017;5378;5711;6000;5834;6778;8508;10495;7052;6247;4348;3792;2670
25/10/2019;viernes;LINEA 2;91;632;737;736;625;725;661;806;898;787;912;1029;1322;1533;1429;1018;792;589;270
26/10/2019;sábado;LINEA 1;2276;5923;7668;8546;5887;5109;4595;5325;7210;7110;6779;7001;6070;5577;5129;4170;3290;2790;2038
26/10/2019;sábado;LINEA 2;78;440;472;579;481;529;539;767;1035;1052;991;1020;940;934;940;812;550;462;195
27/10/2019;domingo;LINEA 1;491;1826;2255;2398;3043;3678;4306;4326;4641;5321;5389;4700;3579;3430;3542;3151;2984;2305;438
27/10/2019;domingo;LINEA 2;1;117;145;187;185;295;403;316;496;469;500;389;369;360;431;416;258;191;21
28/10/2019;lunes;LINEA 1;2919;9006;11296;10663;6720;5610;4951;5135;5610;5434;5701;6278;7861;11123;9403;5895;4068;3285;1848
28/10/2019;lunes;LINEA 2;91;592;729;685;605;640;686;755;868;770;862;1053;1432;1695;1586;1025;845;466;212
29/10/2019;martes;LINEA 1;2880;9507;11534;11266;6951;5995;5069;5314;5961;5527;5850;6152;7799;11275;9578;6219;4133;3743;2143
29/10/2019;martes;LINEA 2;92;614;641;732;675;697;747;849;933;792;772;1038;1301;1523;1504;1193;881;546;194
30/10/2019;miércoles;LINEA 1;2733;9364;11444;11331;6842;5470;4374;5552;4941;6676;5724;6174;7516;9031;11748;6855;4372;4409;2501
30/10/2019;miércoles;LINEA 2;92;640;717;752;616;682;584;839;759;893;861;945;1227;1337;1971;1360;890;692;289
31/10/2019;jueves;LINEA 1;2867;9301;11511;10632;6733;5681;4792;5328;6030;5980;6536;7878;9150;10154;6934;3413;2330;2112;1418
31/10/2019;jueves;LINEA 2;89;568;778;710;630;616;691;808;870;767;939;1169;1236;1357;1489;1031;680;461;209
01/11/2019;viernes;LINEA 1;2839;8606;11326;10705;6810;6110;5155;5486;5911;5686;6035;6733;7037;11412;9507;6729;4404;3710;2442
01/11/2019;viernes;LINEA 2;93;585;714;690;707;712;690;841;825;825;830;370;;3403;1707;1053;836;590;236
02/11/2019;sábado;LINEA 1;2246;5777;7562;8067;5720;5030;4950;5431;7204;7090;7052;6377;6408;5555;5057;4133;3463;2997;1945
02/11/2019;sábado;LINEA 2;60;449;439;544;501;623;603;735;923;1046;937;986;1028;914;949;725;417;510;225
03/11/2019;domingo;LINEA 1;524;2216;2656;2667;2606;3041;3184;3052;3271;3708;3645;3333;3565;3518;3414;2727;2604;2264;425
03/11/2019;domingo;LINEA 2;;138;168;205;153;220;415;284;415;460;351;450;390;358;477;369;245;217;21
04/11/2019;lunes;LINEA 1;615;2353;2775;2265;2059;2099;2571;2479;2783;3039;3645;3602;3609;3524;3471;2952;2813;2160;389
04/11/2019;lunes;LINEA 2;;177;188;183;109;226;214;185;206;285;338;333;344;440;457;371;285;168;21
05/11/2019;martes;LINEA 1;2960;9466;11607;11198;7148;6173;5445;5535;6010;6117;6301;6667;8085;11364;9877;6439;4437;3865;2044
05/11/2019;martes;LINEA 2;83;592;772;754;787;751;838;969;949;859;866;1227;1520;1587;1817;1320;926;647;161
06/11/2019;miércoles;LINEA 1;2925;9364;11916;10913;6817;6307;5211;5459;5905;5795;6136;6601;7939;11015;9598;6399;4244;3608;2214
06/11/2019;miércoles;LINEA 2;78;659;738;785;655;709;799;971;980;740;941;1086;1457;1601;1674;1245;888;635;194
07/11/2019;jueves;LINEA 1;2875;9246;11824;10907;6849;6087;5084;5349;5653;5690;6006;6399;7790;11388;9818;6271;4649;3825;2051
07/11/2019;jueves;LINEA 2;81;618;748;703;688;708;702;861;968;818;849;1116;1415;1605;1427;1267;820;622;238
08/11/2019;viernes;LINEA 1;2883;8904;11095;10143;6806;5877;5169;6990;5916;5770;6148;5983;8405;10322;8302;5584;4029;3991;5664
08/11/2019;viernes;LINEA 2;95;626;736;712;675;711;728;815;944;828;922;1054;1359;1633;1467;1065;715;675;260
09/11/2019;sábado;LINEA 1;2005;6273;7558;8199;5727;4919;4502;5232;6654;7028;7166;6475;6103;5625;5482;4198;3325;3212;2173
09/11/2019;sábado;LINEA 2;61;433;515;555;509;549;549;643;644;996;955;941;1018;958;962;838;497;473;246
10/11/2019;domingo;LINEA 1;580;2141;2642;2670;2521;2723;3196;2923;3034;3582;3493;4681;3418;3023;3068;2482;2473;2971;546
10/11/2019;domingo;LINEA 2;;149;194;218;166;315;435;317;437;461;379;362;438;406;445;330;223;193;22
11/11/2019;lunes;LINEA 1;573;2299;2641;2156;1944;2063;2360;2477;2621;3123;3782;3576;3571;3746;3830;3080;2813;2465;2596
11/11/2019;lunes;LINEA 2;;195;184;179;128;213;182;179;213;306;387;366;403;473;491;331;295;182;23
12/11/2019;martes;LINEA 1;2904;8973;10924;10764;6876;6381;5063;7130;5844;5895;5842;6225;9026;11213;10057;6937;4468;3389;1900
12/11/2019;martes;LINEA 2;103;565;753;667;678;696;543;1199;954;801;920;1212;1480;1735;1518;1170;818;508;223
13/11/2019;miércoles;LINEA 1;2897;8999;11388;10989;7479;5804;5071;5194;5628;5449;6308;6267;8261;11240;9239;6653;4133;4609;1881
13/11/2019;miércoles;LINEA 2;95;607;760;692;710;745;796;859;930;794;964;1070;1349;1608;1445;1272;820;505;210
14/11/2019;jueves;LINEA 1;2824;9062;11406;10327;6754;5923;4975;5213;5568;6633;6083;5900;7911;11109;9460;7340;4296;3414;1913
14/11/2019;jueves;LINEA 2;86;671;746;659;659;643;730;830;863;644;975;1032;1280;1720;1575;989;868;496;222
15/11/2019;viernes;LINEA 1;2847;8932;11670;10989;6976;6882;5149;5327;5428;5951;6731;7379;8955;10774;9162;6097;4747;4811;2484
15/11/2019;viernes;LINEA 2;97;637;764;756;672;703;749;867;848;830;951;1194;1634;1493;1489;1182;891;581;281
16/11/2019;sábado;LINEA 1;2264;6102;7754;8411;5966;5824;4926;5340;7231;7502;7298;6951;6420;5775;5566;4451;3622;3193;2248
16/11/2019;sábado;LINEA 2;93;428;546;554;516;545;676;749;1051;1006;1009;914;1154;1000;899;943;565;468;290
17/11/2019;domingo;LINEA 1;504;2275;2735;2829;2867;3053;3255;3050;3468;3984;4127;3844;4236;4150;3523;3174;3124;2684;484
17/11/2019;domingo;LINEA 2;1;142;164;206;183;290;397;314;426;474;510;468;442;549;492;405;310;196;41
18/11/2019;lunes;LINEA 1;2866;8781;11462;10718;6809;5898;5294;5636;5777;5644;6141;6680;8297;11313;9216;6103;4158;3305;1810
18/11/2019;lunes;LINEA 2;95;588;762;693;718;706;769;886;845;835;888;1049;1520;1695;1620;1256;793;435;218
19/11/2019;martes;LINEA 1;2601;8749;11691;10797;6952;5846;5164;6982;5978;5765;6138;6338;8436;11333;9729;6268;4526;3550;1944
19/11/2019;martes;LINEA 2;95;599;783;762;720;745;829;754;991;779;857;1092;1306;1434;1700;1235;874;508;198
20/11/2019;miércoles;LINEA 1;2812;8920;11656;10935;6517;;;16646;6855;5585;3539;2258;2825;3456;3871;4317;3842;4802;1278
20/11/2019;miércoles;LINEA 2;85;548;817;699;633;;;2323;95;1655;481;587;697;948;994;957;951;413;266
21/11/2019;jueves;LINEA 1;866;3036;5146;2580;2515;6833;6523;3195;6344;6030;3127;3699;3900;5518;2612;2182;1554;1586;1112
21/11/2019;jueves;LINEA 2;48;295;420;164;433;389;52;1;;25;9;168;734;557;457;325;231;152;87
22/11/2019;viernes;LINEA 1;2807;8471;11175;10529;7122;6165;5583;5531;5978;5556;6350;4700;9162;11576;9421;6725;4360;2427;1339
22/11/2019;viernes;LINEA 2;;;;;3152;792;836;800;855;830;955;863;1433;1577;1529;669;5;15;
23/11/2019;sábado;LINEA 1;2074;5129;8870;8051;5949;5179;4790;5326;7024;7360;7219;6675;5335;5845;5194;4296;3434;3193;2082
23/11/2019;sábado;LINEA 2;69;424;520;550;522;490;650;723;979;986;960;933;824;972;810;824;491;427;248
24/11/2019;domingo;LINEA 1;542;2467;2898;3001;3058;3209;3528;3196;3451;4063;3859;3750;3792;3680;3498;3217;3226;2538;457
24/11/2019;domingo;LINEA 2;2;135;45;99;163;240;404;295;382;463;514;463;476;442;510;362;307;194;29
25/11/2019;lunes;LINEA 1;2709;8659;11562;10580;6955;6198;5345;5470;5827;5826;6020;6554;8367;11341;9417;5986;4133;3450;2119
25/11/2019;lunes;LINEA 2;114;547;741;707;677;684;756;850;905;779;955;829;714;1222;1553;1185;639;521;190
26/11/2019;martes;LINEA 1;2767;8682;11348;10878;7179;6081;5416;5432;5758;5660;5822;6432;8465;10240;8646;5313;4023;3484;2001
26/11/2019;martes;LINEA 2;105;556;789;688;683;753;734;715;826;730;898;1051;1299;1439;1334;959;866;436;199
27/11/2019;miércoles;LINEA 1;2744;8461;8728;9387;10526;5707;4896;4805;5316;5083;5555;6133;6021;9862;8482;5480;3882;3273;1982
27/11/2019;miércoles;LINEA 2;102;531;601;570;987;654;693;826;788;713;818;934;1132;266;171;998;164;488;188
28/11/2019;jueves;LINEA 1;2811;8281;11230;10644;7054;6047;5164;5251;5770;5465;5855;6286;7922;10785;9242;6207;4299;3643;2243
28/11/2019;jueves;LINEA 2;99;546;746;610;661;653;743;786;848;714;894;1074;1246;1616;1421;1187;772;446;187
29/11/2019;viernes;LINEA 1;2781;8195;11322;10486;6610;5835;5086;5265;5667;5584;5966;6523;8558;10316;8472;5907;4462;3967;2907
29/11/2019;viernes;LINEA 2;91;531;746;662;592;686;709;783;741;871;851;987;1137;1531;1363;1129;929;545;353
30/11/2019;sábado;LINEA 1;2284;5850;7587;8105;6069;5300;5063;5546;7151;7307;7490;6538;6469;5732;5965;5199;4343;3931;3097
30/11/2019;sábado;LINEA 2;69;463;530;547;484;575;569;656;956;919;996;957;1028;955;1135;909;638;491;273
01/12/2019;domingo;LINEA 1;516;2295;2510;2718;2921;3105;3469;3353;3396;3684;3922;3890;3811;3962;4041;3441;3417;3061;743
01/12/2019;domingo;LINEA 2;8;148;142;192;160;221;413;338;394;495;489;440;523;506;538;445;322;294;51
02/12/2019;lunes;LINEA 1;2595;8106;10904;10243;6961;6074;5519;5430;5494;5340;6097;6259;8051;10546;9197;6155;4184;3760;2161
02/12/2019;lunes;LINEA 2;97;500;709;684;622;678;846;875;784;812;928;1142;1226;1731;1804;1279;888;465;193
03/12/2019;martes;LINEA 1;2766;8034;11340;10446;7219;6008;5588;5615;5897;5457;6220;6535;8262;10940;8950;6123;4305;3620;1956
03/12/2019;martes;LINEA 2;96;583;732;689;670;648;741;854;874;784;967;1153;1386;1534;1624;1037;942;510;190
04/12/2019;miércoles;LINEA 1;2770;8133;11222;9976;6501;5174;4701;4539;5266;4709;5134;5967;8166;10418;8401;5637;3834;3492;2188
04/12/2019;miércoles;LINEA 2;107;548;726;702;580;649;658;126;20;133;582;735;1259;1439;1409;973;730;435;191
05/12/2019;jueves;LINEA 1;2593;7435;12151;10414;7099;6230;5537;5580;5854;5740;6207;6622;8237;11136;10168;7063;4823;4035;2688
05/12/2019;jueves;LINEA 2;115;484;743;647;665;671;663;813;857;792;857;1087;1287;1631;1209;1021;925;531;216
06/12/2019;viernes;LINEA 1;2643;8068;11162;10476;7266;6340;5486;5607;5885;5446;6348;7044;8652;10586;8967;6207;4553;4252;2944
06/12/2019;viernes;LINEA 2;84;523;723;655;685;676;684;804;850;812;908;1132;1217;1477;1561;1144;861;593;289
07/12/2019;sábado;LINEA 1;2199;5646;7045;7791;6057;5252;4909;5691;6823;7161;7192;6569;6008;5393;5620;4798;4007;3510;2532
07/12/2019;sábado;LINEA 2;76;396;493;497;487;520;538;691;913;874;1019;1024;815;1004;926;809;654;442;197
08/12/2019;domingo;LINEA 1;460;1813;2248;2351;2708;3017;3427;3203;3330;3714;3915;3773;4250;4232;4743;4271;4089;3704;1559
08/12/2019;domingo;LINEA 2;1;123;164;175;165;241;378;281;330;469;479;455;510;500;2;;;237;135
09/12/2019;lunes;LINEA 1;2661;7719;11065;10228;6591;6002;5103;5424;5577;5361;6006;6318;7914;10579;9137;6540;4402;3686;2151
09/12/2019;lunes;LINEA 2;93;502;669;623;618;708;666;756;775;679;899;960;1186;1620;1677;1391;814;500;230
10/12/2019;martes;LINEA 1;2684;8096;10940;10397;6868;5977;5498;5512;5698;5178;5543;5471;6602;10942;8725;6143;4205;3524;2199
10/12/2019;martes;LINEA 2;101;539;738;601;573;721;749;810;790;708;738;1165;1150;1236;1186;1200;948;517;217
11/12/2019;miércoles;LINEA 1;2638;8019;10877;10267;6812;5792;5289;5442;5448;5532;6219;6561;8161;10759;9441;6407;4595;3880;2488
11/12/2019;miércoles;LINEA 2;94;533;751;704;635;624;706;824;807;744;917;989;1224;1416;1507;1188;811;558;226
12/12/2019;jueves;LINEA 1;2641;8012;11205;10252;6727;5798;5358;5313;5689;5466;5896;6411;8209;10870;9355;6205;4770;3944;2494
12/12/2019;jueves;LINEA 2;82;567;737;639;586;619;675;703;680;707;815;999;1126;1521;1483;1209;823;508;231
13/12/2019;viernes;LINEA 1;2699;7751;10691;10111;6944;5931;5447;5316;5682;5387;6183;6691;8508;10250;9631;6993;5201;3746;2680
13/12/2019;viernes;LINEA 2;89;548;710;594;546;597;678;662;806;691;827;971;1264;1523;1573;1233;801;543;332
14/12/2019;sábado;LINEA 1;1312;5571;6996;7579;5978;5479;5190;5497;7046;7492;7693;7109;6603;5964;6402;5934;5479;4599;3412
14/12/2019;sábado;LINEA 2;82;397;522;452;483;479;556;654;842;835;902;964;1046;997;1119;921;784;619;378
15/12/2019;domingo;LINEA 1;538;2170;2493;2904;3505;3819;3829;3905;3970;4561;4662;4345;4436;4739;4614;4282;3947;3947;925
15/12/2019;domingo;LINEA 2;;143;149;184;166;304;389;333;474;546;504;538;589;709;677;518;411;325;109
16/12/2019;lunes;LINEA 1;2547;7475;10462;9801;6914;6031;5452;5408;5555;4898;4526;6106;8118;9241;10350;6519;4449;3415;2714
16/12/2019;lunes;LINEA 2;77;503;650;626;635;591;643;877;778;753;917;835;1338;1479;1506;1479;878;423;313
17/12/2019;martes;LINEA 1;2495;7613;10417;9663;6769;5761;5306;5184;5516;5397;5836;6577;8226;10633;9069;7049;4612;3534;2656
17/12/2019;martes;LINEA 2;88;540;713;630;618;608;701;665;750;713;916;1047;1271;1558;1643;1406;839;424;365
18/12/2019;miércoles;LINEA 1;2522;7232;10404;9447;6780;5897;5397;5246;5484;5420;6039;6205;7868;10107;9581;6537;4590;3527;2861
18/12/2019;miércoles;LINEA 2;81;525;706;609;543;674;616;756;750;773;798;1048;1356;1792;1519;1294;861;461;307
19/12/2019;jueves;LINEA 1;2597;7310;10285;9525;6549;5656;5240;5065;5376;5335;6086;6457;7732;10260;9313;6656;4867;3994;3029
19/12/2019;jueves;LINEA 2;70;499;707;618;592;576;576;735;791;811;943;895;1292;1424;1549;1395;909;534;337
20/12/2019;viernes;LINEA 1;2499;7044;10301;9680;6558;5895;5353;5292;5520;5529;6196;6639;8006;9827;9138;6729;5128;4007;3479
20/12/2019;viernes;LINEA 2;81;512;692;552;614;586;661;693;809;833;879;1066;1218;1432;1669;1340;950;537;377
21/12/2019;sábado;LINEA 1;2032;4781;6421;7099;5741;5441;5255;5607;6795;6930;7209;6818;6346;5822;5915;5701;4736;4010;3312
21/12/2019;sábado;LINEA 2;74;341;454;452;449;505;583;692;874;948;981;930;1045;1027;1056;954;681;638;372
22/12/2019;domingo;LINEA 1;510;2094;2459;2903;3458;4078;3643;4157;3306;4356;4488;4228;4152;4137;4458;4105;3489;3532;832
22/12/2019;domingo;LINEA 2;;142;190;192;202;300;412;263;432;532;502;597;638;650;584;517;383;265;89
23/12/2019;lunes;LINEA 1;1951;5731;8369;8378;6705;6260;5996;5716;5732;5759;6461;6704;7618;9084;8047;5782;4243;3710;2552
23/12/2019;lunes;LINEA 2;57;379;565;582;555;665;674;832;810;894;991;1149;1387;1537;1478;1521;825;602;325
24/12/2019;martes;LINEA 1;1616;4251;6189;6443;5162;4793;4707;4808;5917;6220;5893;5594;5208;4782;4849;4299;4001;2800;253
24/12/2019;martes;LINEA 2;58;294;431;417;501;524;596;673;806;868;815;1176;860;895;954;693;408;237;37
25/12/2019;miércoles;LINEA 1;10;1006;1290;1068;1108;1360;1590;1666;1814;2044;2185;2315;2796;2807;3356;2988;2437;1924;317
25/12/2019;miércoles;LINEA 2;;58;113;73;74;68;103;108;128;165;181;200;227;331;309;212;166;92;12
26/12/2019;jueves;LINEA 1;1927;5217;8057;7468;5274;4744;4544;4360;4259;4650;5159;5387;6523;8382;7791;5244;3878;3428;2146
26/12/2019;jueves;LINEA 2;62;382;511;474;440;548;562;732;759;705;821;1032;1049;1437;1467;1057;732;428;179
27/12/2019;viernes;LINEA 1;1987;5398;8359;7898;5530;5026;4813;4630;4711;4903;5541;5784;6727;8517;7460;5761;4058;3446;2625
27/12/2019;viernes;LINEA 2;70;356;553;540;540;566;704;672;824;706;788;999;1177;1342;1446;992;748;450;234
28/12/2019;sábado;LINEA 1;1773;4166;5573;5945;4713;4366;4184;4608;5493;5521;5849;5435;5171;4977;5147;4925;4180;3868;2767
28/12/2019;sábado;LINEA 2;53;297;372;431;407;482;523;624;776;889;796;860;792;780;851;813;541;454;250
29/12/2019;domingo;LINEA 1;512;1911;2224;2264;2711;2856;3165;2905;2917;3331;3635;3539;3285;2952;3407;3095;3025;2641;582
29/12/2019;domingo;LINEA 2;1;140;133;174;153;317;368;264;412;444;377;341;444;492;462;342;268;210;25
30/12/2019;lunes;LINEA 1;1752;4815;7178;6881;5149;5166;4604;4606;1115;;7967;11696;6566;7638;6776;4865;3721;3195;2081
30/12/2019;lunes;LINEA 2;64;326;488;458;492;613;615;766;187;;2199;1072;1166;1293;1392;929;781;436;157
31/12/2019;martes;LINEA 1;1313;3221;4441;4532;3963;3910;3881;4235;4838;4824;4695;4687;3854;4526;4108;3678;2776;204;
31/12/2019;martes;LINEA 2;41;234;312;319;441;423;443;583;703;684;724;771;649;855;779;532;285;27;
01/01/2020;miércoles;LINEA 1;;902;1126;881;743;924;1137;1299;1614;1804;1868;2056;2374;2727;2908;2978;2457;1369;174
01/01/2020;miércoles;LINEA 2;;63;94;66;68;61;79;127;112;134;160;169;188;287;302;236;188;85;16
02/01/2020;jueves;LINEA 1;1694;4171;6375;5887;4021;3733;3489;3603;3821;3789;4457;4477;5608;7167;6002;3932;2974;2752;1757
02/01/2020;jueves;LINEA 2;52;278;416;383;423;494;538;631;624;594;675;865;991;1244;1154;729;586;333;136
03/01/2020;viernes;LINEA 1;1810;4565;7209;6469;4539;4423;4233;4091;4110;4171;5020;4983;6042;7232;6300;4686;3502;3020;1997
03/01/2020;viernes;LINEA 2;55;312;524;462;532;578;644;720;682;638;782;1052;1108;1297;1264;801;542;433;221
04/01/2020;sábado;LINEA 1;1643;3556;4693;4815;3917;3701;3549;3941;4724;4572;4980;4401;4275;4201;4677;4045;3353;3251;2255
04/01/2020;sábado;LINEA 2;64;245;343;384;322;441;508;567;715;783;649;624;708;700;670;647;412;424;195
05/01/2020;domingo;LINEA 1;465;1630;1967;2124;2191;2333;2849;2514;2567;2733;2997;2985;3086;3457;3831;3587;3380;3053;549
05/01/2020;domingo;LINEA 2;;133;130;149;148;184;371;242;314;330;309;259;324;346;415;325;229;211;29
06/01/2020;lunes;LINEA 1;470;1604;1854;1826;1566;1687;2270;2279;2251;2536;2867;2885;2981;3494;3590;3439;3109;2546;396
06/01/2020;lunes;LINEA 2;;149;151;144;131;185;212;183;173;201;253;284;269;356;361;328;318;164;21
07/01/2020;martes;LINEA 1;2287;6025;8801;8004;5376;4856;4569;4523;4481;4566;5297;5529;6252;8742;7557;4751;3142;2687;1547
07/01/2020;martes;LINEA 2;66;458;638;520;517;645;710;809;828;784;929;1083;1233;1435;1547;988;563;390;129
08/01/2020;miércoles;LINEA 1;2325;5873;9004;8007;5300;4901;4405;4073;4305;4313;5250;5295;6139;9056;7467;4796;3150;2704;1628
08/01/2020;miércoles;LINEA 2;80;463;576;603;540;638;665;773;746;653;807;986;1233;1454;1408;980;694;447;151
09/01/2020;jueves;LINEA 1;2318;6163;8822;8103;5480;4774;4172;4336;4345;4399;5104;5253;6410;8995;7643;4939;3174;2755;1610
09/01/2020;jueves;LINEA 2;70;426;635;584;549;577;735;758;743;685;839;930;1157;1411;1383;1047;633;393;193
10/01/2020;viernes;LINEA 1;2324;6262;8771;8147;5492;4827;4460;4427;4600;4321;5227;5732;6830;8786;7378;5034;3523;2996;1911
10/01/2020;viernes;LINEA 2;81;446;595;591;589;583;689;733;667;710;825;953;1141;1535;1372;956;658;467;229
11/01/2020;sábado;LINEA 1;1976;4707;5733;6018;4560;4139;3958;4350;5798;5610;5692;5135;4860;4489;4375;3799;2735;3007;1868
11/01/2020;sábado;LINEA 2;67;377;409;479;421;421;528;626;833;840;754;762;792;737;725;706;493;427;211
12/01/2020;domingo;LINEA 1;479;1708;1997;2199;2283;2489;2829;2654;2808;3049;3235;3210;3074;3171;3271;3070;2685;2200;373
12/01/2020;domingo;LINEA 2;;141;133;165;162;223;399;285;314;443;351;346;306;397;429;372;240;203;34
13/01/2020;lunes;LINEA 1;2595;6883;9856;8867;5695;5041;4680;4546;4776;4856;5691;5709;6808;9460;7870;4828;3197;2666;1582
13/01/2020;lunes;LINEA 2;104;491;706;628;618;632;768;755;811;756;875;1019;1276;1508;1656;1005;572;408;169
14/01/2020;martes;LINEA 1;2536;6989;10018;8963;5895;5130;4589;4461;4811;4741;5554;5643;7027;9610;8192;5054;3431;2893;1699
14/01/2020;martes;LINEA 2;87;511;725;657;599;672;671;806;812;693;857;985;1109;1481;1514;1062;796;423;156
15/01/2020;miércoles;LINEA 1;2587;7162;10155;8992;5968;5044;4516;4324;5013;4913;5529;5846;7121;10009;8308;5110;3439;2913;1811
15/01/2020;miércoles;LINEA 2;88;475;701;721;634;603;613;813;776;653;872;1018;1342;1615;1528;1028;733;472;171
16/01/2020;jueves;LINEA 1;2561;7013;9965;9596;5906;5183;4608;4423;5014;4888;5559;6003;7165;9875;8349;5508;3589;2975;1829
16/01/2020;jueves;LINEA 2;94;455;713;662;565;666;683;768;783;691;891;1028;1258;1534;1553;1166;709;418;177
17/01/2020;viernes;LINEA 1;2610;7022;10223;9247;5913;5246;4786;4651;4962;5055;5783;6361;7505;9253;8314;5534;3795;3218;2159
17/01/2020;viernes;LINEA 2;91;533;689;668;620;716;711;751;754;769;874;1040;1313;1566;1475;1105;639;493;237
18/01/2020;sábado;LINEA 1;2110;5062;6502;6836;5201;4592;4273;4733;6241;6300;6479;5571;5286;4878;4683;4112;3222;3090;2060
18/01/2020;sábado;LINEA 2;63;402;470;481;472;506;621;663;1038;957;918;822;805;815;816;804;372;466;210
19/01/2020;domingo;LINEA 1;469;1895;2122;2569;2465;2766;3070;2893;2853;3382;3672;3342;3500;3513;3854;3313;2924;2313;319
19/01/2020;domingo;LINEA 2;;152;153;182;190;270;379;329;415;514;428;344;374;399;420;396;288;192;27
20/01/2020;lunes;LINEA 1;2676;7953;10098;9824;6157;5651;4831;4867;5334;5506;5886;6154;7594;10555;8552;5364;3316;2801;1588
20/01/2020;lunes;LINEA 2;91;582;715;624;670;712;792;840;827;752;879;1145;1283;1584;1630;1012;598;417;157
21/01/2020;martes;LINEA 1;2654;8257;10646;10092;6269;5884;4403;4471;5015;5116;5665;4200;8148;11395;8366;5760;3574;2846;1538
21/01/2020;martes;LINEA 2;72;652;775;699;616;670;682;815;284;470;855;527;118;734;1194;1100;656;327;151
22/01/2020;miércoles;LINEA 1;2571;8401;10526;10167;6482;5783;4869;4947;5391;5452;6145;6387;7825;10105;8869;5987;3853;3170;1708
22/01/2020;miércoles;LINEA 2;89;618;772;706;587;641;597;702;778;744;853;1124;1364;1413;1405;1243;734;496;183
23/01/2020;jueves;LINEA 1;2642;8390;10680;10261;6127;5611;4753;4836;5207;5512;5975;6324;7928;10586;8869;5647;3698;2944;1783
23/01/2020;jueves;LINEA 2;100;616;764;767;583;652;730;762;821;742;829;964;1168;1574;1626;956;669;471;154
24/01/2020;viernes;LINEA 1;2683;8260;10604;10392;6280;5705;4790;4975;5210;5349;6053;6850;8330;10282;8289;5638;3722;3273;2078
24/01/2020;viernes;LINEA 2;100;566;830;672;570;667;733;765;789;697;787;1067;1375;1542;1323;987;667;511;208
25/01/2020;sábado;LINEA 1;2167;5460;6649;7356;5404;4648;4239;4836;6612;6745;7089;5875;5528;5114;4821;4139;3123;2987;2004
25/01/2020;sábado;LINEA 2;77;397;495;521;481;574;585;684;977;980;915;916;924;779;866;814;590;385;194
26/01/2020;domingo;LINEA 1;472;1761;2258;2379;2338;2658;2978;2777;2944;3362;3587;3423;3350;3283;3258;3114;2974;2165;379
26/01/2020;domingo;LINEA 2;1;137;145;194;146;230;395;272;356;487;428;346;350;385;463;408;249;206;37
27/01/2020;lunes;LINEA 1;2916;8449;10790;10327;6353;5964;4781;5038;5418;5511;5899;6632;7473;10288;8629;5810;3518;2792;1620
27/01/2020;lunes;LINEA 2;103;584;692;765;679;708;749;838;807;799;964;1203;1325;1565;1544;1087;646;398;155
28/01/2020;martes;LINEA 1;2846;8525;10787;10751;6449;5794;4765;4835;5318;5414;5934;6429;8224;11253;8757;5808;3870;3015;1636
28/01/2020;martes;LINEA 2;95;643;748;739;641;683;766;735;842;660;895;1125;1374;1687;1494;1128;796;417;168
