Día;dia/semana;Línea de servicio;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00
21/01/2019;lunes;LINEA 1;2545;7956;10780;9999;6205;5602;4966;4895;5481;5489;6018;6315;7535;11277;9153;5734;3582;2988;1707
21/01/2019;lunes;LINEA 2;79;551;701;745;645;692;747;770;843;794;936;963;1388;1705;1784;1183;637;370;190
22/01/2019;martes;LINEA 1;2536;8540;11067;10463;6094;5606;4765;4894;5256;5392;5567;6066;7749;11247;9298;5925;3782;3054;1787
22/01/2019;martes;LINEA 2;82;551;769;765;640;742;722;862;854;755;875;1079;1263;1618;1805;1164;761;447;182
23/01/2019;miércoles;LINEA 1;2555;8548;11133;10251;6268;5685;4845;5066;5071;5531;5823;6372;7701;10851;8524;6141;4054;3108;1937
23/01/2019;miércoles;LINEA 2;77;551;691;799;602;673;735;738;862;825;828;1029;1317;1657;1571;1193;721;457;186
24/01/2019;jueves;LINEA 1;2516;8643;11009;10340;6087;5639;4751;4781;5260;5474;303;;19531;11595;9081;5949;3733;3158;1792
24/01/2019;jueves;LINEA 2;81;597;778;727;604;676;789;844;809;686;7;;;;;;8424;484;177
25/01/2019;viernes;LINEA 1;2545;8172;10875;10073;6076;5737;4770;4813;5320;5469;5840;6770;8234;10432;9000;5993;3904;3314;2307
25/01/2019;viernes;LINEA 2;73;511;701;701;548;686;686;867;833;878;886;1033;1402;1541;1576;1180;700;608;204
26/01/2019;sábado;LINEA 1;2054;5452;6854;7404;5357;4694;4334;4949;6579;7390;6749;5860;5871;5069;5136;4180;3508;3080;2202
26/01/2019;sábado;LINEA 2;59;348;486;491;511;528;617;711;1035;1001;915;833;883;824;852;761;504;485;220
27/01/2019;domingo;LINEA 1;417;1893;2241;2493;2344;2796;2932;2667;2818;3236;3555;3117;3511;3353;3583;3329;3048;2533;383
27/01/2019;domingo;LINEA 2;;131;138;210;173;303;456;278;334;511;345;352;361;448;481;425;273;196;37
28/01/2019;lunes;LINEA 1;2750;8342;10897;10359;6211;5796;4756;4945;5149;5544;5753;6252;7577;11350;9118;5552;3600;2849;1671
28/01/2019;lunes;LINEA 2;101;519;765;764;599;689;819;920;812;793;884;1045;1406;1813;1711;1067;655;427;156
29/01/2019;martes;LINEA 1;2574;8695;11108;10389;6305;5616;4791;5029;5437;5581;5790;6326;7676;11792;9343;5971;3811;3168;1938
29/01/2019;martes;LINEA 2;82;597;755;755;604;682;758;865;867;759;838;1039;1245;1736;1611;1106;735;493;174
30/01/2019;miércoles;LINEA 1;2570;8548;11006;10323;6321;5465;4735;4883;5485;5570;5807;6327;7833;11540;9513;6144;4078;3257;1983
30/01/2019;miércoles;LINEA 2;107;589;740;787;640;677;723;731;817;772;839;1083;1259;1680;1640;1159;725;525;217
31/01/2019;jueves;LINEA 1;2552;8628;11023;10437;6310;5510;4853;4976;5460;5429;5995;6470;7934;11643;9545;6219;4116;3303;2064
31/01/2019;jueves;LINEA 2;88;574;732;796;655;674;697;816;834;828;891;1103;1278;1638;1749;1182;846;507;212
01/02/2019;viernes;LINEA 1;2613;8234;11267;10517;6732;6181;5133;5373;5731;5850;6332;6860;8625;10898;8960;5863;4081;3598;2423
01/02/2019;viernes;LINEA 2;85;517;791;767;676;724;815;822;945;871;948;1079;1350;1459;1577;1174;785;567;250
02/02/2019;sábado;LINEA 1;2027;5391;6942;7461;5330;4997;4695;5192;7057;7276;6839;6299;5808;5524;5073;4389;3569;3243;2404
02/02/2019;sábado;LINEA 2;77;366;495;535;477;610;595;751;1136;1112;1119;895;966;1080;897;892;524;465;227
03/02/2019;domingo;LINEA 1;437;1801;2431;2695;2576;2768;3262;3095;3356;3688;3825;3494;3642;3694;3872;3629;3350;2619;408
03/02/2019;domingo;LINEA 2;;109;152;181;151;239;372;357;391;477;416;396;426;467;580;450;305;216;41
04/02/2019;lunes;LINEA 1;2691;9057;11189;10658;6661;6059;5116;5611;6073;5890;6232;6650;8248;11991;9620;5995;3939;3200;1787
04/02/2019;lunes;LINEA 2;93;572;736;788;636;777;809;905;912;896;965;1124;1462;1871;1713;1195;781;521;178
05/02/2019;martes;LINEA 1;2688;9390;11537;11208;6523;6183;5105;5434;5867;5941;6082;6840;8199;12208;9483;6204;4186;3517;1840
05/02/2019;martes;LINEA 2;77;622;726;834;702;703;869;932;974;835;879;1167;1367;1665;1708;1266;834;552;213
06/02/2019;miércoles;LINEA 1;2574;9380;11599;10823;6535;6037;5117;5439;5917;5784;6109;6738;8070;12349;9424;6044;4227;3475;1874
06/02/2019;miércoles;LINEA 2;89;634;792;759;639;811;850;875;816;751;893;1056;1419;1890;1682;1122;768;571;210
07/02/2019;jueves;LINEA 1;2539;9386;11443;10972;6652;5833;4925;5216;5864;5708;6056;6600;8497;12068;9260;5957;4079;3504;1954
07/02/2019;jueves;LINEA 2;81;583;819;773;699;698;787;897;938;850;938;1155;1356;1685;1752;1134;854;571;194
08/02/2019;viernes;LINEA 1;2599;9172;11167;10683;6511;6091;5036;5414;5914;5748;6181;7154;8910;11293;8601;6121;4070;3622;2364
08/02/2019;viernes;LINEA 2;93;552;748;783;665;733;799;875;948;814;919;1097;1440;1754;1630;1134;767;585;237
09/02/2019;sábado;LINEA 1;2150;5576;7056;8046;5270;4835;4499;4906;7120;7210;6978;6399;5705;5377;4968;4288;3481;3013;2222
09/02/2019;sábado;LINEA 2;69;380;490;539;487;551;593;750;1122;1022;1031;849;954;928;929;896;487;475;232
10/02/2019;domingo;LINEA 1;410;1763;2449;2534;2261;2632;3016;2882;3164;3680;3640;3391;3694;3744;3716;3413;3141;2384;379
10/02/2019;domingo;LINEA 2;3;130;153;185;148;312;378;254;393;466;465;404;426;478;516;410;271;219;29
11/02/2019;lunes;LINEA 1;2688;9221;11135;10837;6564;6023;5216;5344;5842;5877;6014;6633;7946;11856;9420;6324;4039;3147;1816
11/02/2019;lunes;LINEA 2;89;599;785;782;720;797;799;829;969;803;900;1046;1248;1841;1565;1182;811;544;192
12/02/2019;martes;LINEA 1;2561;9959;11581;11143;5740;5435;4376;4761;5248;5926;5808;6507;8219;12234;9383;5971;4209;3566;1914
12/02/2019;martes;LINEA 2;93;631;797;884;387;;;;;348;650;959;1219;1562;1693;1059;881;553;183
13/02/2019;miércoles;LINEA 1;2633;9773;11346;11171;6620;5981;4891;5372;5791;5763;5990;6377;8059;12098;9358;6278;4201;3599;1989
13/02/2019;miércoles;LINEA 2;93;583;764;882;673;732;731;847;914;765;916;1042;1363;1840;1749;1099;812;632;206
14/02/2019;jueves;LINEA 1;2568;9515;11126;10841;6549;5961;5123;5400;5947;6031;5864;6497;8166;12169;9555;6044;4475;3856;2172
14/02/2019;jueves;LINEA 2;86;596;771;866;674;685;753;564;66;860;913;1023;1345;1718;1756;1115;942;576;219
15/02/2019;viernes;LINEA 1;1956;9549;11514;9788;5800;5168;4627;4774;5416;5087;5878;6634;8417;10506;8912;6066;4433;3871;2556
15/02/2019;viernes;LINEA 2;57;560;768;737;559;616;611;698;744;722;776;1002;1286;1702;1503;1174;722;622;264
16/02/2019;sábado;LINEA 1;2005;5677;7254;2945;;;3495;;;;;41023;15503;5450;4971;4201;3546;3216;2206
16/02/2019;sábado;LINEA 2;69;356;491;518;494;636;568;708;1062;1034;951;888;1141;853;987;913;524;492;217
17/02/2019;domingo;LINEA 1;389;1865;2285;2607;2751;3003;3411;3178;3327;3662;3672;3712;3729;3691;4077;3595;3174;2461;462
17/02/2019;domingo;LINEA 2;1;115;152;149;120;190;254;250;279;441;478;354;411;484;531;462;299;185;24
18/02/2019;lunes;LINEA 1;2658;9501;11433;11118;6690;6196;5280;5599;5832;5875;5948;6734;8211;12754;9171;6005;4210;3353;1701
18/02/2019;lunes;LINEA 2;79;562;732;836;674;798;798;990;974;848;959;1162;1245;1608;1690;1150;792;466;230
19/02/2019;martes;LINEA 1;2570;9857;11558;11962;6493;6016;4993;5441;6090;5948;5982;6658;8490;12629;9691;6067;4364;3537;1788
19/02/2019;martes;LINEA 2;81;590;797;874;737;773;822;913;960;754;905;1038;1512;1912;1712;1200;864;552;204
20/02/2019;miércoles;LINEA 1;2626;9625;11333;11577;6719;6063;5072;5356;5914;6001;5802;7121;8310;12060;9392;6040;4426;3550;1878
20/02/2019;miércoles;LINEA 2;86;590;741;887;663;713;746;927;1014;748;1005;1140;1360;1847;1726;1210;825;592;219
21/02/2019;jueves;LINEA 1;2660;9953;11404;11594;6658;6100;4927;5546;6111;5758;5989;6408;8322;12146;9792;6325;4424;3594;1992
21/02/2019;jueves;LINEA 2;87;581;734;904;706;769;710;910;944;831;934;1076;1445;1843;1755;1224;926;584;221
22/02/2019;viernes;LINEA 1;2644;9629;11498;11225;6604;6266;5029;5331;5821;6353;5978;7035;8857;10980;9493;6087;5218;4990;3008
